JSON,Response ID,D6_country,D6_continent,C3_tools,D4_languages,C4_tasks,C9_conditions,C11_documentation,U11_ownership
118,R_3ZC8OE1R9ExWfyq,Canada,North America,"ChatGPT-4, GitHub Copilot, Claude (Anthropic) (any version)","Java, Python","Code documentation, Code styling and formatting (to meet employer or community standards), Small or Quick Scripts, Test case generation, Writing source code","Depends on client, Partially or under certain conditions",,Belongs to the developer who prompted the model (or their employer)
119,R_2TTTngmeyvPiHTP,"United States, Lebanon","North America, Asia","Bard, ChatGPT-3.5, ChatGPT-4","C / C++, C#, JavaScript, PHP, Python","Test case generation, Code documentation, Writing source code, Prototyping/mocking, Creating user interfaces, Code styling and formatting (to meet employer or community standards), Refactoring",Yes,,"Belongs to the creators whose works were used as training data for the output, Belongs to the developer who prompted the model (or their employer)"
120,R_6ucYnAET8MvMW6R,"United States, Global","North America, Global","Bard, ChatGPT-4, Claude (Anthropic) (any version), GitHub Copilot, Jurassic","C / C++, Python, R, Rust","Test case generation, Code documentation, Writing source code, Prototyping/mocking",I don't know,,Don’t know/No opinion
121,R_7WOVIye4Kq0oeYV,Mexico,North America,"ChatGPT-4, GitHub Copilot, Amazon CodeWhisperer","Golang, JavaScript, R","Test case generation, Code documentation, Writing source code, Refactoring",Yes,,Belongs to no one (i.e. is in the public domain)
122,R_6vkV2U0MC0zAWWe,Italy,Europe,"ChatGPT-4, GitHub Copilot","C / C++, Python","Test case generation, Code documentation, Writing source code, Prototyping/mocking, Creating user interfaces, Refactoring",I don't know,,Don’t know/No opinion
123,R_3LkeZIBrETYXhGT,Brazil,South America,"Bard, ChatGPT-3.5, GitHub Copilot, Hugging Face's Star Coder",Python,"Test case generation, Code documentation, Writing source code",I don't know,,Belongs to no one (i.e. is in the public domain)
124,R_47j0NLR3Qlev1N9,Myanmar,Asia,GitHub Copilot,"JavaScript, PHP, Python","Test case generation, Writing source code, Prototyping/mocking, Creating user interfaces",Yes,,Belongs to no one (i.e. is in the public domain)
125,R_4WkJOFu8dVgPFm1,Austria,Europe,GitHub Copilot,"Golang, Python","Code documentation, Writing source code",No,,"Belongs to the creators whose works were used as training data for the output, Belongs to the creators of the model (such as OpenAI)"
126,R_67eAJ3uDLetbhfn,United States,North America,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot","JavaScript, PHP, Python","Test case generation, Code documentation, Writing source code, Prototyping/mocking, Creating user interfaces, Code styling and formatting (to meet employer or community standards), Refactoring",Yes,,Belongs to the developer who prompted the model (or their employer)
127,R_5CeT6wlhD6o16Ak,United States,North America,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot","Golang, JavaScript, Python","Test case generation, Code documentation, Writing source code, Creating user interfaces, Code styling and formatting (to meet employer or community standards), Refactoring",Yes,,"Belongs to no one (i.e. is in the public domain), Depends on the training set"
128,R_6kjO0auLhSULIcb,United States,North America,"ChatGPT-4, GitHub Copilot, Llama / Llama 2, Open-source Models","C / C++, Python, Rust",Prototyping/mocking,Uses on own projects,,Belongs to no one (i.e. is in the public domain)
129,R_3PzHfUD2QaC1G7w,United States,North America,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot","C#, Java","Code documentation, Writing source code, Prototyping/mocking, Refactoring","Only in-house or company approved AI, Partially or under certain conditions",,Belongs to the developer who prompted the model (or their employer)
130,R_4ZVOofJIi1AfJVq,Poland,Europe,"Bard, ChatGPT-3.5, Claude (Anthropic) (any version), GitHub Copilot","C#, JavaScript, Python","Refactoring, Reference / Learning, Writing source code",Partially or under certain conditions,,"Belongs to the creators whose works were used as training data for the output, Belongs to the developer who prompted the model (or their employer)"
131,R_5GBT8skp3D1k4UG,United States,North America,"ChatGPT-4, GitHub Copilot","C / C++, C#, JavaScript","Test case generation, Writing source code, Prototyping/mocking, Code styling and formatting (to meet employer or community standards), Refactoring",Yes,,"Belongs to the creators whose works were used as training data for the output, Belongs to the developer who prompted the model (or their employer)"
132,R_725NT1tcGEvqcoj,China,Asia,"Bard, ChatGPT-3.5, TONGYI Lingma",Java,"Code documentation, Writing source code, Prototyping/mocking, Code styling and formatting (to meet employer or community standards), Refactoring",I don't know,,Belongs to no one (i.e. is in the public domain)
133,R_1m1qZRcx4gn3DQi,United States,North America,"Codellama, GitHub Copilot, Mistral, countinue, llama.cpp","C#, Golang, JavaScript, Python","Code documentation, Debugging, Prototyping/mocking, Refactoring, Troubleshooting, Writing source code",No,,Belongs to the developer who prompted the model (or their employer)
134,R_4zcAdvEeCjq1MVX,Malaysia,Asia,"ChatGPT-3.5, Perplexity AI","C / C++, PHP, Python, R","Code documentation, Prototyping/mocking, Creating user interfaces",Yes,,Don’t know/No opinion
135,R_6HRANR36C3t7c3G,United States,North America,"ChatGPT-3.5, GitHub Copilot","JavaScript, PHP, Python, Swift","Code documentation, Prototyping/mocking",No,,Belongs to the creators whose works were used as training data for the output
136,R_4Lodmzgx1H3T06R,New Zealand,Oceania,"Bard, ChatGPT-3.5, ChatGPT-4, GitHub Copilot",JavaScript,"Test case generation, Code documentation, Writing source code, Prototyping/mocking, Refactoring",Yes,,Belongs to no one (i.e. is in the public domain)
137,R_4KCuGquXr4a8yEW,Unknown,Unknown,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot","C / C++, Python",Writing source code,Yes,,Belongs to no one (i.e. is in the public domain)
138,R_4tvoL1Orum3c6OZ,China,Asia,ChatGPT-4,Python,"Code documentation, Writing source code",No,,Don’t know/No opinion
139,R_53nYSL4xGbTonZf,United States,North America,"ChatGPT-3.5, ChatGPT-4, Phind","Java, JavaScript, Python, Rust","Test case generation, Code documentation, Writing source code, Prototyping/mocking, Refactoring","Only in-house or company approved AI, Partially or under certain conditions",,Belongs to no one (i.e. is in the public domain)
140,R_5ruQU0fssL7SItS,United States,North America,"ChatGPT-3.5, Amazon CodeWhisperer","C / C++, Java, JavaScript, Python","Test case generation, Code documentation, Writing source code, Prototyping/mocking, Refactoring","Only in-house or company approved AI, Partially or under certain conditions",,Belongs to no one (i.e. is in the public domain)
141,R_4lxdfMySAkHRzKg,Australia,Oceania,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot","Golang, JavaScript, Python, TypeScript","Code Explanation, Code documentation, Creating user interfaces, Prototyping/mocking, Refactoring, Test case generation, Writing source code",Yes,,Belongs to the developer who prompted the model (or their employer)
142,R_2hECuUYBC4Gft02,United Kingdom,Europe,"ChatGPT-4, GitHub Copilot",Python,"Code documentation, Writing source code, Code styling and formatting (to meet employer or community standards), Refactoring",I don't know,,"Belongs to no one (i.e. is in the public domain), Belongs to the creators of the model (such as OpenAI), Belongs to the creators whose works were used as training data for the output, Belongs to the developer who prompted the model (or their employer)"
143,R_58GynCOoVmS96MN,Canada,North America,"Bard, ChatGPT-3.5, GitHub Copilot, grammarlygo","C / C++, Fortran, Golang, Java, JavaScript, PHP, Perl, Python, Rust","Code documentation, Creating user interfaces, De-Obfuscating Code, Refactoring, Writing source code",Yes,"Noting the usage of a code generation tool, Documenting the prompt used to generate code, Documenting the entire interaction with a code generation tool",Belongs to no one (i.e. is in the public domain)
144,R_1sYopL0m23o1Hlf,United States,North America,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot","C / C++, Python, Rust","Code documentation, Writing source code, Prototyping/mocking, Refactoring",Yes,,"Belongs to the creators whose works were used as training data for the output, Belongs to the developer who prompted the model (or their employer)"
145,R_4xHXpv6VgRuexDX,Greece,Europe,Tabnine,"C / C++, JavaScript, PHP",Writing source code,Yes,"Noting the usage of a code generation tool, Documenting the entire interaction with a code generation tool",Belongs to the creators of the model (such as OpenAI)
146,R_5pWCeSbafIQyqWW,United States,North America,"Bard, ChatGPT-3.5, ChatGPT-4, Claude (Anthropic) (any version), GitHub Copilot, Open-source Models","C#, JavaScript, PHP, Python","Code documentation, Code styling and formatting (to meet employer or community standards), Creating user interfaces, Debugging, Error Summarization / Explanation, Prototyping/mocking, Refactoring, Test case generation, Troubleshooting, Writing source code","Partially or under certain conditions, Used for co-programming",Documenting the entire interaction with a code generation tool,Belongs to no one (i.e. is in the public domain)
147,R_4fkRslCZ6hwTDDa,China,Asia,ERNIE,"C / C++, Python",Writing source code,Yes,Documenting the prompt used to generate code,"Belongs to the creators whose works were used as training data for the output, Belongs to the creators of the model (such as OpenAI), Belongs to the developer who prompted the model (or their employer)"
148,R_6ou0ySThoXxb1HY,France,Europe,"GitHub Copilot, Open-source Models","C / C++, JavaScript, PHP, Python","Code documentation, Testing Datasets",Yes,,Belongs to the developer who prompted the model (or their employer)
149,R_22xLt1R5potpw4x,Kenya,Africa,"ChatGPT-4, Claude (Anthropic) (any version)","C / C++, Python, Rust","Test case generation, Code documentation, Writing source code",Yes,,Belongs to no one (i.e. is in the public domain)
150,R_4e9z5WgF0VyQ9vc,Japan,Asia,"ChatGPT-4, GitHub Copilot","JavaScript, Python, TypeScript","Writing source code, Refactoring",Yes,,Belongs to no one (i.e. is in the public domain)
151,R_4kuF6kB80APrxWp,Turkey,Asia,"ChatGPT-3.5, GitHub Copilot, Amazon CodeWhisperer","Java, JavaScript","Writing source code, Refactoring",Yes,,Belongs to no one (i.e. is in the public domain)
152,R_3PhMqhUY8wTGpYa,Finland,Europe,GitHub Copilot,"Rust, TypeScript","Test case generation, Code documentation, Writing source code",Yes,,"Depends on amount of code generated, Depends on jurisdiction, Depends on level of modification"
153,R_7s2WpvwNKZG7Dtn,Italy,Europe,"Bard, ChatGPT-3.5, ChatGPT-4, GitHub Copilot, Perplexity AI","Java, JavaScript, Python, Swift","Code documentation, Writing source code, Creating user interfaces","Depends on use or process, Only in-house or company approved AI, Partially or under certain conditions",,Belongs to no one (i.e. is in the public domain)
154,R_4RVSKXbMjruoStz,China,Asia,"Bard, ChatGPT-4, GitHub Copilot, Claude (Anthropic) (any version)","JavaScript, Python","Test case generation, Code documentation, Prototyping/mocking, Refactoring",Yes,,Belongs to no one (i.e. is in the public domain)
155,R_2RKnRwzcGYzWNKV,Germany,Europe,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot","Golang, Java, JavaScript, PHP, Python, Rust","Test case generation, Writing source code, Prototyping/mocking, Creating user interfaces, Refactoring","Only in-house or company approved AI, Partially or under certain conditions",,Belongs proportionately to different stakeholders
156,R_25uLySXId17RXkf,Poland,Europe,ChatGPT-3.5,"Python, R","Code documentation, Writing source code, Prototyping/mocking, Refactoring",No,,"Belongs to no one (i.e. is in the public domain), Don’t know/No opinion"
157,R_4VlGy6eN7eoLe38,Germany,Europe,,JavaScript,,"Can't expose sensitive data to AI, Only in-house or company approved AI, Partially or under certain conditions",,Belongs to no one (i.e. is in the public domain)
158,R_7uvVdh3BB9OVZ8x,United Kingdom,Europe,"Bard, Codellama, GitHub Copilot, Ollama, Open-source Models, dolphin-mistral, wizardlm ","C / C++, Java, Python","Brainstorming / Inspiration, Code documentation, Refactoring, Writing source code","As long as use is documented, Partially or under certain conditions",Documenting the entire interaction with a code generation tool,Depends on the training set
159,R_5jZ59U721kiQven,Brazil,Asia,GitHub Copilot,JavaScript,Test case generation,"Can't expose sensitive data to AI, Partially or under certain conditions",,Belongs to no one (i.e. is in the public domain)
160,R_6lxbSHYipxkSn2z,Finland,Europe,,"Java, JavaScript",,Yes,,Belongs to the developer who prompted the model (or their employer)
161,R_8nS2Drbcj2y9Jmx,Nigeria,Africa,"Bard, ChatGPT-3.5","JavaScript, PHP, Python","Code documentation, Writing source code, Code styling and formatting (to meet employer or community standards), Refactoring",Yes,Documenting the prompt used to generate code,Belongs to the developer who prompted the model (or their employer)
162,R_3VF8rQ3ujOduVqr,United States,North America,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot, Amazon CodeWhisperer, Claude (Anthropic) (any version)",C / C++,"Test case generation, Code documentation, Writing source code, Prototyping/mocking, Creating user interfaces, Code styling and formatting (to meet employer or community standards), Refactoring",I don't know,,"Belongs to no one (i.e. is in the public domain), Don’t know/No opinion"
163,R_4g4R80egJRhod3M,France,Europe,,"Java, JavaScript, Python",,No,,Don’t know/No opinion
164,R_1MRt19FpsubdO1F,United States,North America,"Bard, ChatGPT-4, Codium, Cody, Tabnine","C / C++, C#, Golang, Python, Zig","Test case generation, Code documentation, Writing source code",I don't know,,Belongs to the creators whose works were used as training data for the output
165,R_3kOyFRAg49AyWeS,Brazil,South America,"ChatGPT-3.5, GitHub Copilot",Python,"Test case generation, Writing source code",Yes,Noting the usage of a code generation tool,Belongs to the developer who prompted the model (or their employer)
166,R_4gLmxzJCOGL1SDg,Indonesia,Asia,,"C / C++, Golang, Java, Python",,"Can't expose sensitive data to AI, Partially or under certain conditions",,Don’t know/No opinion
167,R_614Y3xBMxc9osmt,Canada,North America,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot","JavaScript, Python","Code documentation, Writing source code, Code styling and formatting (to meet employer or community standards), Refactoring","Only in-house or company approved AI, Partially or under certain conditions",,Belongs to the creators whose works were used as training data for the output
168,R_3pWR7j7Pwog2F4H,Brazil,South America,"ChatGPT-4, Llama / Llama 2, Microsoft Orca",Python,"Writing source code, Prototyping/mocking, Code styling and formatting (to meet employer or community standards)","Only in-house or company approved AI, Partially or under certain conditions",,Belongs to no one (i.e. is in the public domain)
169,R_6urimTKL7zynReP,Ghana,Africa,"ChatGPT-4, GitHub Copilot","Flutter, Python, Swift","Writing source code, Prototyping/mocking, Creating user interfaces",I don't know,,Belongs to the developer who prompted the model (or their employer)
170,R_3Iki73dvYS2J2oN,Global,Global,"Bard, ChatGPT-3.5, ChatGPT-4, Gemini, Perplexity AI","Elixir, Golang, JavaScript, PHP, Python, Rust","Prototyping/mocking, Refactoring, Reference / Learning, Test case generation",No,,Belongs to the creators whose works were used as training data for the output
171,R_6z7j50fx8PiYtjj,United States,North America,"Bard, ChatGPT-4, GitHub Copilot","Golang, Java, JavaScript, Python, TypeScript","Code Explanation, Code documentation, Creating user interfaces, Prototyping/mocking, Refactoring, Test case generation, Writing source code",Yes,,"Depends on model license, No global / general answer"
172,R_3W6Tv2t3kmLthuN,United States,North America,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot, Claude (Anthropic) (any version)","Java, Python","Test case generation, Code documentation, Writing source code, Code styling and formatting (to meet employer or community standards), Refactoring",I don't know,,Belongs to the developer who prompted the model (or their employer)
173,R_1sXR19dsK9203YY,United States,North America,"ChatGPT-3.5, ChatGPT-4, Mistral, Open-source Models, WizardCoder","JavaScript, Ruby","Test case generation, Code documentation, Writing source code, Prototyping/mocking, Creating user interfaces, Code styling and formatting (to meet employer or community standards), Refactoring",Yes,,Belongs to the developer who prompted the model (or their employer)
175,R_7D0980YuOIK98aQ,United States,North America,"ChatGPT-4, GitHub Copilot","JavaScript, Ruby","Code Review, Prototyping/mocking, Repository Management, Writing source code",Yes,,Belongs to the developer who prompted the model (or their employer)
176,R_1MXJr07J6TQxGKA,United States,North America,"ChatGPT-4, GitHub Copilot","Java, JavaScript","Test case generation, Code documentation, Writing source code",Yes,,Belongs to the creators whose works were used as training data for the output
177,R_4eOI70iqY8JNDZG,Australia,Oceania,,"JavaScript, Python",,I don't know,,"Belongs to no one (i.e. is in the public domain), Don’t know/No opinion"
178,R_17jpwXU1ZXCorwI,United States,North America,GitHub Copilot,"C / C++, Python",Prototyping/mocking,I don't know,,"Belongs to the developer who prompted the model (or their employer), Belongs to no one (i.e. is in the public domain)"
179,R_11b0GgzuoloT117,Norway,Europe,,"JavaScript, Python, Rust",,Yes,,"Belongs to the creators whose works were used as training data for the output, Depends on the training set"
180,R_3EFDe7q7rkCGmUs,China,Asia,"CodeGeex, GitHub Copilot","C / C++, Golang","Code documentation, Writing source code",I don't know,,Belongs to no one (i.e. is in the public domain)
181,R_7y5bQ5DLMQ5M7HH,Ghana,Africa,"Bard, ChatGPT-3.5, GitHub Copilot, Amazon CodeWhisperer","Java, JavaScript, Python","Code documentation, Writing source code, Prototyping/mocking, Creating user interfaces, Refactoring",I don't know,,Belongs to the developer who prompted the model (or their employer)
182,R_7DUXhhBhB9N99Wb,United States,North America,"ChatGPT-4, GitHub Copilot, Amazon CodeWhisperer","C#, JavaScript, TypeScript","Code Review, Code documentation, Prototyping/mocking, Repository Management, Test case generation, Writing source code",No,,"Belongs to the developer who prompted the model (or their employer), Belongs to no one (i.e. is in the public domain)"
183,R_8VKq2v6O9YXXBYV,United Kingdom,Europe,"ChatGPT-4, GitHub Copilot","Golang, JavaScript, Python, Rust","Test case generation, Code documentation, Writing source code, Refactoring",Yes,,Belongs to the developer who prompted the model (or their employer)
184,R_4P78Oe84EUCTVdP,Finland,Europe,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot, In-House or Custom, Mixtral, Open-source Models, Perplexity AI",Python,"Brainstorming / Inspiration, Code documentation, Creating user interfaces, Problem Translation, Refactoring, Writing source code",Not applicable,,Belongs to no one (i.e. is in the public domain)
185,R_6DNDvqxjjqQFOkI,United States,North America,"Bard, ChatGPT-3.5, ChatGPT-4, Claude (Anthropic) (any version), GitHub Copilot, Mistral, Open-source Models","C / C++, Python, R","Test case generation, Code documentation, Writing source code, Prototyping/mocking, Creating user interfaces, Code styling and formatting (to meet employer or community standards), Refactoring",I don't know,,Don’t know/No opinion
186,R_4PcdF613hokQx54,India,Asia,"Bard, Blackbox, ChatGPT-3.5, ChatGPT-4, GitHub Copilot","C / C++, Python","Test case generation, Code documentation, Code styling and formatting (to meet employer or community standards), Refactoring",Yes,"Noting the usage of a code generation tool, Documenting the prompt used to generate code",Belongs to no one (i.e. is in the public domain)
187,R_3iVhsF1OV9cJlrr,China,Asia,ChatGPT-3.5,Golang,"Test case generation, Writing source code, Code styling and formatting (to meet employer or community standards), Refactoring","Can't expose sensitive data to AI, Partially or under certain conditions",,Belongs to the developer who prompted the model (or their employer)
188,R_4fqQi3Ym4tKnVOH,India,Asia,,"Golang, JavaScript, Python",,Yes,,"Belongs to the creators whose works were used as training data for the output, Belongs to no one (i.e. is in the public domain)"
189,R_2q9vnZ2DKJAEyLn,Spain,Europe,"ChatGPT-4, GitHub Copilot, Perplexity AI","Java, JavaScript, PHP, Python, R","Code documentation, Code styling and formatting (to meet employer or community standards), Creating user interfaces, Debugging, Prototyping/mocking, Refactoring, Test case generation, Writing source code",Yes,,Belongs to the developer who prompted the model (or their employer)
190,R_6FICeNKKzuuvyvR,Sweden,Europe,"ChatGPT-4, GitHub Copilot",TypeScript,"Test case generation, Code documentation, Writing source code, Prototyping/mocking, Creating user interfaces, Refactoring",Yes,Noting the usage of a code generation tool,"Belongs to the creators of the model (such as OpenAI), Belongs to the creators whose works were used as training data for the output, Belongs to the developer who prompted the model (or their employer)"
191,R_2CVISeajpPCxx5f,France,Europe,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot","JavaScript, PHP, Python","Code documentation, Writing source code, Refactoring",Yes,,"Belongs to the creators whose works were used as training data for the output, Belongs to the creators of the model (such as OpenAI), Belongs to the developer who prompted the model (or their employer)"
192,R_7CmrJDklV37YpVu,Senegal,Africa,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot","JavaScript, Python","Test case generation, Writing source code",Yes,,Depends on the training set
193,R_6TsLHrhQ5x2gkUj,Czech Republic,Europe,GitHub Copilot,"Julia, Kotlin, Python","Code documentation, Writing source code, Refactoring",Yes,,Belongs to no one (i.e. is in the public domain)
194,R_3qHFmN57OqA6OEV,United States,North America,"Bard, ChatGPT-3.5","Java, JavaScript, Python","Code documentation, Writing source code, Prototyping/mocking, Refactoring",Yes,Documenting the prompt used to generate code,Belongs to the creators of the model (such as OpenAI)
195,R_71n4iyh8erX9iCa,United States,North America,"Bard, ChatGPT-3.5, Codeium","C / C++, JavaScript, PHP, Python","Code Explanation, Error Summarization / Explanation, Prototyping/mocking, Refactoring, Reference / Learning, Writing source code",Yes,,"Belongs to the creators whose works were used as training data for the output, Belongs to the creators of the model (such as OpenAI)"
196,R_7Pbgscg8CPf4kVW,United States,North America,,Python,,No,,Depends on usage
197,R_122CnbyM8BhNcTn,United States,North America,"ChatGPT-3.5, GitHub Copilot, Claude (Anthropic) (any version)","Golang, Java, Python, R","Test case generation, Code documentation, Writing source code, Code styling and formatting (to meet employer or community standards), Refactoring","Partially or under certain conditions, Used for co-programming",,Belongs to the developer who prompted the model (or their employer)
198,R_51bY7en8TVvnejy,United States,North America,"Bard, ChatGPT-3.5, GitHub Copilot","JavaScript, PHP","Test case generation, Writing source code, Prototyping/mocking",Yes,,Don’t know/No opinion
199,R_3IQtywix6iq8rV7,"United States, Croatia","North America, Europe","ChatGPT-4, Cody, GitHub Copilot, Open-source Models","Golang, JavaScript, Rust, TypeScript","Code documentation, Writing source code",Yes,Noting the usage of a code generation tool,Belongs to no one (i.e. is in the public domain)
200,R_3v6WudhnTfPzpcV,United Kingdom,Europe,"ChatGPT-3.5, ChatGPT-4",Python,"Code documentation, Writing source code, Code styling and formatting (to meet employer or community standards), Refactoring",Yes,,Don’t know/No opinion
201,R_4t3VDVFQGe8Ef7E,China,Asia,,Rust,,No,,Belongs to the developer who prompted the model (or their employer)
202,R_7FDqqWY4hNxv8c0,United States,North America,ChatGPT-4,XQuery,"Code documentation, Writing source code, Refactoring",Yes,,Belongs to no one (i.e. is in the public domain)
203,R_40OVtyLF8n9qjQZ,China,Asia,,"Python, R",,Yes,Documenting the entire interaction with a code generation tool,Belongs to the creators whose works were used as training data for the output
204,R_5cAFce7qbVRAyLH,United States,North America,"ChatGPT-4, Claude (Anthropic) (any version), GitHub Copilot, cursor.sh","JavaScript, Python, TypeScript","Test case generation, Code documentation, Prototyping/mocking, Creating user interfaces, Refactoring","Can be used for research, Partially or under certain conditions",,Belongs to no one (i.e. is in the public domain)
205,R_7f86MW7VNFamtZr,United States,North America,"Bard, ChatGPT-3.5, ChatGPT-4, GitHub Copilot, Amazon CodeWhisperer, Claude (Anthropic) (any version)","C / C++, Java, JavaScript, PHP, Python","Test case generation, Code documentation, Writing source code, Prototyping/mocking, Creating user interfaces, Code styling and formatting (to meet employer or community standards), Refactoring",I don't know,,Belongs to the creators whose works were used as training data for the output
206,R_7IuP760GXyZ49aJ,United Kingdom,Europe,ChatGPT-3.5,JavaScript,"Code documentation, Prototyping/mocking, Refactoring",Yes,,Belongs to no one (i.e. is in the public domain)
207,R_40P7n1XBrD7DW4y,India,Asia,ChatGPT-4,"JavaScript, PHP, Python","Test case generation, Writing source code, Prototyping/mocking, Creating user interfaces, Code styling and formatting (to meet employer or community standards)",Yes,,Belongs to the developer who prompted the model (or their employer)
208,R_3OgQHN8SnTb3D1L,Netherlands,Europe,"Bard, ChatGPT-3.5, ChatGPT-4, GitHub Copilot, Amazon CodeWhisperer","C#, JavaScript, Ruby","Test case generation, Code documentation, Writing source code, Prototyping/mocking, Creating user interfaces, Refactoring",Yes,,Belongs to the developer who prompted the model (or their employer)
209,R_5ISJzKW4tgNtQfj,United States,North America,"ChatGPT-4, Codeium","C#, JavaScript, Python, Rust","Prototyping/mocking, Test case generation, Writing source code","Can't expose sensitive data to AI, Partially or under certain conditions",,"Belongs to the creators of the model (such as OpenAI), Belongs to the developer who prompted the model (or their employer)"
210,R_7q9JY7hRCDOFyH3,United States,North America,"Bard, ChatGPT-4","C / C++, JavaScript","Writing source code, Prototyping/mocking, Creating user interfaces, Refactoring",Yes,"Noting the usage of a code generation tool, Providing Chat Links, Summarization of Task / Purpose / Reasoning",Apply normal copyright law
211,R_4HiFhLywCkibWeY,China,Asia,"ChatGPT-3.5, ChatGPT-4, Amazon CodeWhisperer","Golang, JavaScript, Python",Writing source code,I don't know,,Belongs to no one (i.e. is in the public domain)
212,R_4vpZd1Z1K3HtIGZ,China,Asia,"ChatGPT-4, GitHub Copilot","Golang, Python","Code documentation, Writing source code, Refactoring",Yes,,Belongs to the creators whose works were used as training data for the output
213,R_4xhDRSqGBhrglAB,India,Asia,"ChatGPT-3.5, GitHub Copilot","C / C++, C#, JavaScript","Writing source code, Creating user interfaces",I don't know,,Belongs to no one (i.e. is in the public domain)
214,R_4G7mMh2q0dwpCGd,India,Asia,"Amazon CodeWhisperer, ChatGPT-3.5, ChatGPT-4, Claude (Anthropic) (any version), GitHub Copilot, Phind","JavaScript, Python","Writing source code, Prototyping/mocking, Refactoring",Yes,,Belongs to the creators whose works were used as training data for the output
215,R_4E058LAODiH5OoI,United Kingdom,Europe,,"JavaScript, Python",,Yes,,"Belongs to the creators whose works were used as training data for the output, Belongs to the creators of the model (such as OpenAI), Belongs to the developer who prompted the model (or their employer)"
216,R_4bCzqOa8Qo2Yz73,United States,North America,"Bard, ChatGPT-4, Mistral","Golang, PHP, Python","Writing source code, Prototyping/mocking, Refactoring",I don't know,,Belongs to no one (i.e. is in the public domain)
217,R_4dmFgD15PB65bTj,France,Europe,"Bard, ChatGPT-3.5, GitHub Copilot",JavaScript,"Test case generation, Code documentation, Prototyping/mocking, Refactoring",I don't know,,"Belongs to no one (i.e. is in the public domain), Don’t know/No opinion"
218,R_8AGNLDrWgAZAlUY,Italy,Europe,,Java,,Yes,,Belongs to the creators whose works were used as training data for the output
219,R_21bFhRdcID06mAT,Germany,Europe,"ChatGPT-3.5, GitHub Copilot","C / C++, Python","Test case generation, Code documentation, Writing source code, Prototyping/mocking, Creating user interfaces",No direction from organization,,"Belongs to the developer who prompted the model (or their employer), Belongs to no one (i.e. is in the public domain)"
220,R_8E5sbpRMXOcf0CH,Estonia,Europe,ChatGPT-4,"Golang, JavaScript, PHP, R","Test case generation, Code documentation, Writing source code, Prototyping/mocking, Refactoring",I don't know,,Belongs to the developer who prompted the model (or their employer)
221,R_4aMTXzSmlk5oUCt,"United States, Israel","North America, Asia",GitHub Copilot,"Golang, Java, Python","Test case generation, Code documentation, Writing source code, Prototyping/mocking, Refactoring",Yes,Noting the usage of a code generation tool,Belongs to the developer who prompted the model (or their employer)
222,R_6tR2osP2UWKM8Kt,United Kingdom,Europe,,C / C++,,No,,Belongs to the developer who prompted the model (or their employer)
223,R_22Ndppw0glP0TBv,Netherlands,Europe,"ChatGPT-3.5, ChatGPT-4, Codellama, GitHub Copilot","Bash, Golang, Python","Writing source code, Prototyping/mocking",Yes,,Depends on the training set
224,R_6JKNCgbbiUzTZBv,China,Asia,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot","JavaScript, Python","Code documentation, Writing source code",No,,Belongs to the creators whose works were used as training data for the output
225,R_4xqIZVcPUBZUGc1,Italy,Europe,,JavaScript,,Yes,,Belongs to the developer who prompted the model (or their employer)
226,R_4exfMpuwx8j7scH,United Kingdom,Europe,ChatGPT-3.5,JavaScript,"Test case generation, Code documentation, Refactoring",I don't know,,"Belongs to the creators whose works were used as training data for the output, Don’t know/No opinion"
227,R_4QyqoXNo25swPCI,India,Asia,,"C#, Java, JavaScript, PHP, Perl, Python",,,,
228,R_51BnaPMrhGUGdIU,Ukraine,Europe,"ChatGPT-3.5, GitHub Copilot","JavaScript, PHP, Rust, TypeScript","Test case generation, Code documentation, Writing source code, Code styling and formatting (to meet employer or community standards), Refactoring",Yes,,Belongs to the developer who prompted the model (or their employer)
229,R_1Jt4aD0NoHQgYDL,Germany,Europe,"Bard, ChatGPT-3.5, ChatGPT-4, GitHub Copilot",JavaScript,"Test case generation, Code documentation, Writing source code, Prototyping/mocking, Creating user interfaces, Code styling and formatting (to meet employer or community standards), Refactoring","Can't expose sensitive data to AI, Partially or under certain conditions",,Belongs to no one (i.e. is in the public domain)
231,R_5nVt3O4gBUNUKbI,Colombia,South America,"Bard, ChatGPT-4, GitHub Copilot","Golang, JavaScript, PHP, Python, Scala","Writing source code, Prototyping/mocking, Code styling and formatting (to meet employer or community standards)",Yes,,"Belongs to the creators whose works were used as training data for the output, Belongs to no one (i.e. is in the public domain)"
